body_part,symptom_keyword,severity_modifier,time_course_modifier,body_side_modifier,associated_symptom,population_risk,red_flag_question,emergency_if_yes,rationale,question_priority,clinical_context
head,ปวดหัว,mild,acute,left,,general,ปวดหัวรุนแรงที่สุดในชีวิตเกิดขึ้นทันทีด้านซ้ายหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Acute mild left ปวดหัว
head,ปวดหัว,mild,acute,right,,general,ปวดหัวรุนแรงที่สุดในชีวิตเกิดขึ้นทันทีด้านขวาหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Acute mild right ปวดหัว
head,ปวดหัว,mild,acute,bilateral,,general,ปวดหัวรุนแรงที่สุดในชีวิตเกิดขึ้นทันทีทั้งสองข้างหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Acute mild bilateral ปวดหัว
head,ปวดหัว,mild,acute,central,,general,ปวดหัวรุนแรงที่สุดในชีวิตเกิดขึ้นทันทีหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Acute mild central ปวดหัว
head,ปวดหัว,mild,subacute,left,,general,ปวดหัวรุนแรงที่สุดในชีวิตด้านซ้ายหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Subacute mild left ปวดหัว
head,ปวดหัว,mild,subacute,right,,general,ปวดหัวรุนแรงที่สุดในชีวิตด้านขวาหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Subacute mild right ปวดหัว
head,ปวดหัว,mild,subacute,bilateral,,general,ปวดหัวรุนแรงที่สุดในชีวิตทั้งสองข้างหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Subacute mild bilateral ปวดหัว
head,ปวดหัว,mild,subacute,central,,general,ปวดหัวรุนแรงที่สุดในชีวิตหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Subacute mild central ปวดหัว
head,ปวดหัว,mild,progressive,left,,general,ปวดหัวรุนแรงที่สุดในชีวิตแย่ลงเรื่อยๆด้านซ้ายหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,2,Progressive mild left ปวดหัว
head,ปวดหัว,mild,progressive,right,,general,ปวดหัวรุนแรงที่สุดในชีวิตแย่ลงเรื่อยๆด้านขวาหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,2,Progressive mild right ปวดหัว
head,ปวดหัว,mild,progressive,bilateral,,general,ปวดหัวรุนแรงที่สุดในชีวิตแย่ลงเรื่อยๆทั้งสองข้างหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,2,Progressive mild bilateral ปวดหัว
head,ปวดหัว,mild,progressive,central,,general,ปวดหัวรุนแรงที่สุดในชีวิตแย่ลงเรื่อยๆหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,2,Progressive mild central ปวดหัว
head,ปวดหัว,mild,recurrent,left,,general,ปวดหัวรุนแรงที่สุดในชีวิตเป็นๆ หายๆด้านซ้ายหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Recurrent mild left ปวดหัว
head,ปวดหัว,mild,recurrent,right,,general,ปวดหัวรุนแรงที่สุดในชีวิตเป็นๆ หายๆด้านขวาหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Recurrent mild right ปวดหัว
head,ปวดหัว,mild,recurrent,bilateral,,general,ปวดหัวรุนแรงที่สุดในชีวิตเป็นๆ หายๆทั้งสองข้างหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Recurrent mild bilateral ปวดหัว
head,ปวดหัว,mild,recurrent,central,,general,ปวดหัวรุนแรงที่สุดในชีวิตเป็นๆ หายๆหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,3,Recurrent mild central ปวดหัว
head,ปวดหัว,moderate,acute,central,fever,general,ปวดหัวรุนแรงที่สุดในชีวิตเกิดขึ้นทันทีร่วมกับไข้สูงหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,1,fever + ปวดหัว → Higher emergency risk
head,ปวดหัว,moderate,progressive,central,fever,general,ปวดหัวรุนแรงที่สุดในชีวิตแย่ลงเรื่อยๆร่วมกับไข้สูงหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,1,fever + ปวดหัว → Higher emergency risk
head,ปวดหัว,moderate,acute,central,weakness,general,ปวดหัวรุนแรงที่สุดในชีวิตเกิดขึ้นทันทีร่วมกับอ่อนแรงหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,1,weakness + ปวดหัว → Higher emergency risk
head,ปวดหัว,moderate,progressive,central,weakness,general,ปวดหัวรุนแรงที่สุดในชีวิตแย่ลงเรื่อยๆร่วมกับอ่อนแรงหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,1,weakness + ปวดหัว → Higher emergency risk
head,ปวดหัว,moderate,acute,central,,elderly,ผู้สูงอายุปวดหัวรุนแรงที่สุดในชีวิตเกิดขึ้นทันทีหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,1,Elderly + ปวดหัว → Lower threshold
head,ปวดหัว,moderate,progressive,central,,elderly,ผู้สูงอายุปวดหัวรุนแรงที่สุดในชีวิตแย่ลงเรื่อยๆหรือไม่,yes,Thunderclap headache อาจเป็นเส้นเลือดสมองแตก,1,Elderly + ปวดหัว → Lower threshold
head,ปวดหัว,mild,acute,left,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดเกิดขึ้นทันทีด้านซ้ายหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Acute mild left ปวดหัว
head,ปวดหัว,mild,acute,right,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดเกิดขึ้นทันทีด้านขวาหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Acute mild right ปวดหัว
head,ปวดหัว,mild,acute,bilateral,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดเกิดขึ้นทันทีทั้งสองข้างหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Acute mild bilateral ปวดหัว
head,ปวดหัว,mild,acute,central,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดเกิดขึ้นทันทีหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Acute mild central ปวดหัว
head,ปวดหัว,mild,subacute,left,,general,ปวดหัวร่วมกับแขนขาอ่อนแรงหรือพูดไม่ชัดด้านซ้ายหรือไม่,yes,อาจเป็นโรคหลอดเลือดสมอง,3,Subacute mild left ปวดหัว
