intent_id,primary_symptom,display_text_th,display_text_en,body_system,severity_level,time_course,location,trigger,associated_symptoms,red_flag_question_th,red_flag_question_en,red_flag_if_yes,emergency_level,triage_if_no,confidence_weight,otc_group,self_care_group,contraindications,age_min,age_max,requires_health_profile,notes_medical,status
HEADACHE_001,ปวดหัว,ปวดหัวข้างเดียว,One-sided headache,neurology,moderate,acute,one_side,,,มีอาการอ่อนแรง แขนขาชา หรือพูดไม่ชัดร่วมด้วยไหมคะ?,Do you have weakness, numbness, or slurred speech?,true,urgent,,0.13,,rest_hydration,,18,99,true,Possible migraine vs stroke red flag,active
HEADACHE_002,ปวดหัว,ปวดหัวสองข้าง,Bilateral headache,neurology,mild,acute,two_sides,,,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,true,immediate,,0.15,,rest_hydration,,18,99,true,Thunderclap headache red flag,active
HEADACHE_003,ปวดหัว,ปวดหัวรุนแรงทันที,Sudden severe headache,neurology,severe,acute,whole_head,,,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,true,immediate,,0.15,,rest_hydration,,18,99,true,Thunderclap headache red flag,active
HEADACHE_004,ปวดหัว,ปวดหัวมากขึ้นเรื่อย ๆ,Worsening headache,neurology,moderate,progressive,whole_head,,,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,true,urgent,,0.12,,rest_hydration,,18,99,true,Progressive headache red flag,active
HEADACHE_005,ปวดหัว,ปวดหัวทุกวัน,Daily headache,neurology,mild,chronic,whole_head,,,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,false,none,gp,0.05,analgesic_basic,rest_hydration,,18,99,false,Chronic daily headache,active
HEADACHE_006,ปวดหัว,ปวดหัวมา ๆ หาย ๆ,Recurrent headache,neurology,mild,chronic,whole_head,,,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,false,none,self_care,0.04,analgesic_basic,rest_hydration,,18,99,false,Recurrent tension headache,active
HEADACHE_007,ปวดหัว,ปวดหัวตอนเช้า,Morning headache,neurology,moderate,acute,whole_head,morning,,,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,false,none,gp,0.06,analgesic_basic,rest_hydration,,18,99,false,Morning headache pattern,active
HEADACHE_008,ปวดหัว,ปวดหัวหลังอดนอน,Sleep-deprived headache,neurology,mild,acute,whole_head,sleep_deprivation,,,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,false,none,self_care,0.03,analgesic_basic,rest_hydration,,18,99,false,Sleep-related headache,active
HEADACHE_009,ปวดหัว,ปวดหัวหลังดื่มแอลกอฮอล์,Alcohol-induced headache,neurology,mild,acute,whole_head,alcohol,,,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,false,none,self_care,0.03,analgesic_basic,rest_hydration,,18,99,false,Alcohol-related headache,active
HEADACHE_010,ปวดหัว,ปวดหัวร่วมกับอาเจียน,Headache with vomiting,neurology,moderate,acute,whole_head,,อาเจียน,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,true,urgent,,0.14,,rest_hydration,,18,99,true,Headache with vomiting red flag,active
HEADACHE_011,ปวดหัว,ปวดหัวร่วมกับตาพร่า,Headache with blurred vision,neurology,moderate,acute,whole_head,,ตาพร่า,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,true,urgent,,0.13,,rest_hydration,,18,99,true,Headache with vision changes red flag,active
HEADACHE_012,ปวดหัว,ปวดหัวร่วมกับคอแข็ง,Headache with neck stiffness,neurology,severe,acute,whole_head,,คอแข็ง,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,true,immediate,,0.15,,rest_hydration,,18,99,true,Meningitis red flag,active
HEADACHE_013,ปวดหัว,ปวดหัวร่วมกับไข้,Headache with fever,neurology,moderate,acute,whole_head,,ไข้,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,true,urgent,,0.12,,rest_hydration,,18,99,true,Headache with fever red flag,active
HEADACHE_014,ปวดหัว,ปวดหัวหลังบาดเจ็บ,Post-traumatic headache,neurology,moderate,acute,whole_head,trauma,,,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,true,urgent,,0.13,,rest_hydration,,18,99,true,Post-traumatic headache red flag,active
HEADACHE_015,ปวดหัว,ปวดหัวร้าวไปคอ,Headache radiating to neck,neurology,moderate,acute,whole_head,,,ปวดหัวรุนแรงที่สุดในชีวิตหรือเกิดขึ้นทันทีไหมคะ?,Is this the worst headache of your life or sudden onset?,false,none,gp,0.06,analgesic_basic,rest_hydration,,18,99,false,Cervicogenic headache,active
